,total,spread,parent_id,curated,rank
sq1,140609,3,sq1,parent,1
sq2,85903,3,sq2,parent,2
sq3,79202,3,sq1,merged,3
sq4,11088,3,sq2,merged,4
sq5,5514,3,sq2,merged,5
sq6,3912,3,sq1,merged,6
sq7,3591,3,sq1,merged,7
sq8,3267,3,sq2,merged,8
sq9,2980,3,sq2,merged,9
sq10,2472,3,sq2,merged,10
sq11,1542,3,sq2,merged,11
sq12,1380,3,sq2,merged,12
sq13,1261,3,sq2,merged,13
sq14,1183,3,sq2,merged,14
sq15,1109,3,sq2,merged,15
sq16,1108,3,sq2,merged,16
sq17,1067,3,sq2,merged,17
sq18,1043,3,sq2,merged,18
sq19,1006,3,sq2,merged,19
sq20,810,3,sq2,merged,20
sq21,806,3,sq2,merged,21
sq22,789,3,sq2,merged,22
sq25,629,3,sq2,merged,25
sq27,577,3,sq2,merged,27
sq29,568,3,sq2,merged,29
sq33,424,3,sq2,merged,33
sq36,396,3,sq2,merged,36
sq38,372,3,sq2,merged,38
sq42,345,3,sq2,merged,42
sq49,247,3,sq2,merged,49
sq50,241,3,sq2,merged,50
sq52,225,3,sq1,merged,52
sq58,203,3,sq1,merged,58
sq23,690,2,sq2,merged,23
sq24,683,2,sq2,merged,24
sq26,590,2,sq2,merged,26
sq30,554,2,sq2,merged,30
sq31,491,2,sq2,merged,31
sq32,463,2,sq2,merged,32
sq34,407,2,sq2,merged,34
sq35,401,2,sq2,merged,35
sq37,378,2,sq2,merged,37
sq39,370,2,sq2,merged,39
sq40,356,2,sq2,merged,40
sq41,347,2,sq2,merged,41
sq43,331,2,sq2,merged,43
sq44,327,2,sq2,merged,44
sq45,317,2,sq2,merged,45
sq47,266,2,sq2,merged,47
sq48,250,2,sq2,merged,48
sq51,226,2,sq2,merged,51
sq55,211,2,sq2,merged,55
sq56,206,2,sq2,merged,56
sq57,204,2,sq2,merged,57
sq59,187,2,sq2,merged,59
sq60,184,2,sq2,merged,60
sq62,170,2,sq2,merged,62
sq63,158,2,sq2,merged,63
sq64,156,2,sq2,merged,64
sq65,154,2,sq2,merged,65
sq68,150,2,sq2,merged,68
sq69,149,2,sq2,merged,69
sq70,146,2,sq2,merged,70
sq71,134,2,sq2,merged,71
sq72,132,2,sq2,merged,72
sq73,131,2,sq2,merged,73
sq74,130,2,sq2,merged,74
sq75,127,2,sq2,merged,75
sq76,123,2,sq2,merged,76
sq78,120,2,sq2,merged,78
sq79,120,2,sq2,merged,79
sq82,103,2,sq2,merged,82
sq84,101,2,sq2,merged,84
sq85,101,2,sq2,merged,85
sq86,101,2,sq2,merged,86
sq87,100,2,sq2,merged,87
sq89,99,2,sq2,merged,88
sq90,97,2,sq2,merged,90
sq92,93,2,sq2,merged,92
sq93,90,2,sq2,merged,93
sq28,571,1,sq2,merged,28
sq46,299,1,sq2,merged,46
sq53,223,1,sq2,merged,53
sq54,218,1,sq1,merged,54
sq61,176,1,sq1,merged,61
sq66,154,1,sq1,merged,66
sq67,151,1,sq2,merged,67
sq77,121,1,sq2,merged,77
sq80,110,1,sq1,merged,80
sq81,106,1,sq2,merged,81
sq83,103,1,sq1,merged,83
sq88,99,1,sq2,merged,89
sq91,96,1,sq2,merged,91
sq94,83,1,sq1,merged,94
sq95,75,1,sq2,merged,95
sq96,66,1,sq2,merged,96
sq97,65,1,sq2,merged,97
sq98,63,1,sq2,merged,98
sq99,60,1,sq2,merged,99
sq100,58,1,sq2,merged,100
sq101,57,1,sq2,merged,101
sq102,56,1,sq2,merged,102
sq103,51,1,sq2,merged,103
sq104,50,1,sq2,merged,104
sq105,49,1,sq2,merged,105
sq106,49,1,sq2,merged,106
sq107,46,1,sq2,merged,107
sq108,41,1,sq2,merged,108
sq109,38,1,sq2,merged,109
sq110,33,1,sq2,merged,110
sq111,32,1,sq2,merged,111
sq112,31,1,sq2,merged,112
sq113,21,1,sq2,merged,113
sq114,18,1,sq1,merged,114
sq115,9,1,sq2,merged,115
sq116,6,1,sq2,merged,116
